"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","Zone Channel Member Slot","Zone Channel Member Color Code","A Channel","A Channel RX Frequency","A Channel TX Frequency","A Channel Slot","A Channel Color Code","B Channel","B Channel RX Frequency","B Channel TX Frequency","B Channel Slot","B Channel Color Code"
"1","W8RP DMR","W8RP.Local|MI State Wide|USA Nationwide|North America|World Wide|TAC310-US|TAC311-US|TAC312-US|Mi5-STATE1|Mi5-STATE2|Parrot","443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000","448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000","Slot1|Slot1|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2","1|1|1|1|1|1|1|1|1|1|1","W8RP.Local","443.50000","448.50000","Slot1","1","MI State Wide","443.50000","448.50000","Slot1","1"
"2","FM Analog","2M Call|70CM Call|N8DUY Ann Arbor|ARROW 2M|W8FSA Ypsi|W8UM|WR8DAR Northvill|N8OVI Novi","146.52000|446.00000|145.15000|146.96000|146.92000|145.23000|443.10000|444.80000","146.52000|446.00000|144.55000|146.36000|146.32000|144.63000|448.10000|449.80000","Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|1|1|1|1|1|1","ARROW 2M","146.96000","146.36000","Slot1","1","2M Call","146.52000","146.52000","Slot1","1"
