"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Channel Member Slot","Scan Channel Member Color Code","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 1 Slot","Priority Channel 1 Color Code","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Priority Channel 2 Slot","Priority Channel 2 Color Code","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","W8RP Scan","W8RP.Local|USA Nationwide|North America|Parrot|TAC310-US|TAC311-US|TAC312-US|MI State Wide|World Wide|Mi5-STATE1|Mi5-STATE2","443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000|443.50000","448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000|448.50000","Slot1|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot1|Slot2|Slot2|Slot2","1|1|1|1|1|1|1|1|1|1|1","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"2","Analog Scan","2M Call|70CM Call|N8DUY Ann Arbor|ARROW 2M|W8FSA Ypsi|W8UM|WR8DAR Northvill|N8OVI Novi","146.52000|446.00000|145.15000|146.96000|146.92000|145.23000|443.10000|444.80000","146.52000|446.00000|144.55000|146.36000|146.32000|144.63000|448.10000|449.80000","Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|1|1|1|1|1|1","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
